company_id,company,year,report_period,indicator_id,indicator_name,indicator_standard_name,indicator_value,unit,business_scope,business_type,source_file,source_page,source_chunk_id,source_text,extraction_time,confidence_score,review_status
,中国太保,2024,2024Q3,F001,净利润,净利润,,百万元,未披露,,chunks.json,,,,2026-08-11,0.05,待审核
,中国太保,2024,2024Q3,F002,承保利润,承保利润,,百万元,太保产险单体，不含太平洋安信农险,,chunks.json,,,,2026-08-11,0.12,待审核
,中国太保,2024,2024Q3,F003,保险服务收入,保险服务收入,93076.0,百万元,太保产险单体（不含太平洋安信农险），财产保险业务,,chunks.json,,taibao_2024_q3_a_026,"2024年上半年，太保产险实现原保险保费收入1,118.03亿元，同比增长7.8%，实现保险服务收入930.76亿元，同比增长4.2%。",2026-08-11,0.99,待审核
,中国太保,2024,2024Q3,F004,保险服务费用,保险服务费用,,百万元,集团合并口径,,chunks.json,,,候选文本中未见“保险服务费用”的具体数值披露,2026-08-11,0.08,待审核
,中国太保,2024,2024Q3,F005,投资收益,投资收益,,百万元,,,chunks.json,,,,2026-08-11,0.1,待审核
,中国太保,2024,2024Q3,F006,综合成本率,综合成本率,97.1,%,产险（包括太保产险、太平洋安信农险及太保香港）,,chunks.json,,taibao_2024_q3_a_012,产险<sup>注1</sup>承保综合成本率97.1% -0.8pt,2026-08-11,0.98,待审核
,中国太保,2024,2024Q3,F007,综合赔付率,综合赔付率,69.6,%,太保产险单体，不含太平洋安信农险,,chunks.json,,taibao_2024_q3_a_026,"2024年上半年，太保产险实现原保险保费收入1,118.03亿元，同比增长7.8%，实现保险服务收入930.76亿元，同比增长4.2%。承保综合成本率97.1%，同比下降0.8个百分点，公司不断提升业务品质，承保综合赔付率69.6%，同比下降0.8个百分点；承保综合费用率27.5%，同比持平。",2026-08-11,0.98,待审核
,中国太保,2024,2024Q3,F008,综合费用率,综合费用率,27.4,%,财产险业务/太保产险,,chunks.json,,taibao_2024_q3_a_023,承保综合成本率 97.1%，同比下降 0.8 个百分点。其中，承保综合赔付率 69.7%，同比下降 0.8 个百分点；承保综合费用率27.4%，同比持平；,2026-08-11,0.96,待审核
,中国太保,2024,2024Q3,B001,原保险保费收入,原保险保费收入,111803.0,百万元,太保产险单体（不含太平洋安信农险）,,chunks.json,,taibao_2024_q3_a_026,"2024年上半年，太保产险实现原保险保费收入1,118.03亿元，同比增长7.8%，实现保险服务收入930.76亿元，同比增长4.2%。",2026-08-11,0.98,待审核
,中国太保,2024,2024Q3,B002,车险保费收入,车险保费收入,52167.0,百万元,太保产险单体（不含太平洋安信农险）,车险,chunks.json,,,2024 年上半年，车险原保险保费收入521.67亿元，同比增长2.8%，其中新能源车险保费同比增长41.7%。,2026-08-11,0.99,待审核
,中国太保,2024,2024Q3,B003,非车险保费收入,非车险保费收入,61036.4,百万元,太保产险单体财产险业务（不含太平洋安信农险）,非车险,chunks.json,,taibao_2024_q3_a_023,"原保险保费收入1,132.03亿元，同比增长7.8%。其中，非车险保费收入同比增长12.5%，占比达53.9%，上升2.3个百分点；",2026-08-11,0.61,待审核
,中国太保,2024,2024Q3,B005,农业保险保费,农业保险保费,7831.0,百万元,太保产险单体，不含太平洋安信农险,农业险,chunks.json,,,"## 4财产保险业务

注：本报告中均指太保产险单体，不含太平洋安信农险。

## 一、太保产险

## （一）业务分析

## 1、按险种分析",2026-08-11,0.42,待审核
,中国太保,2024,2024Q3,B006,健康险保费,健康险保费,,百万元,,健康险,chunks.json,,,,2026-08-11,0.12,待审核
,中国太保,2024,2024Q3,B010,保费增长率,保费增长率,7.8,%,太保产险单体，不含太平洋安信农险,,chunks.json,,taibao_2024_q3_a_026,"2024年上半年，太保产险实现原保险保费收入1,118.03亿元，同比增长7.8%",2026-08-11,0.95,待审核
,中国太保,2024,2024Q3,R001,核心偿付能力充足率,核心偿付能力充足率,,%,,,chunks.json,,,,2026-08-11,0.1,待审核
,中国太保,2024,2024Q3,R002,综合偿付能力充足率,综合偿付能力充足率,251.0,%,集团,,chunks.json,,taibao_2024_q3_a_012,集团综合偿付能力充足率251% -6pt,2026-08-11,0.95,待审核
