company_id,company,year,report_period,indicator_id,indicator_name,indicator_standard_name,indicator_value,unit,business_scope,business_type,source_file,source_page,source_chunk_id,source_text,extraction_time,confidence_score,review_status
,人保,2025,2025Q4,F001,净利润,净利润,40307,百万元,人保财险（财产保险业务）,,中国人保_2025_Q4_A股_chunks.json,,人保_2025_q4_a_005,"2025年，人保财险实现保险服务收入5,115.94亿元，同比增长5.4%；实现承保利润124.43亿元，同比增长75.6%；综合成本率97.6%，同比下降0.9个百分点；综合赔付率74.0%，同比上升1.3个百分点；综合费用率23.6%，同比下降2.2个百分点；实现净利润403.07亿元，同比增长21.4%。",2026-08-11,95,待审核
,人保,2025,2025Q4,F002,承保利润,承保利润,12443,百万元,财产保险业务（人保财险）,,中国人保_2025_Q4_A股_chunks.json,,人保_2025_q4_a_005,"2025年，人保财险实现保险服务收入5,115.94亿元，同比增长5.4%；实现承保利润124.43亿元，同比增长75.6%；综合成本率97.6%，同比下降0.9个百分点；综合赔付率74.0%，同比上升1.3个百分点；综合费用率23.6%，同比下降2.2个百分点；实现净利润403.07亿元，同比增长21.4%。",2026-08-11,100,待审核
,人保,2025,2025Q4,F003,保险服务收入,保险服务收入,511594,百万元,人保财险（财产保险业务）,,中国人保_2025_Q4_A股_chunks.json,,,"2025年，人保财险实现保险服务收入5,115.94亿元，同比增长5.4%（正文）；表格列示保险服务收入511,594百万元。",2026-08-11,95,待审核
,人保,2025,2025Q4,F004,保险服务费用,保险服务费用,486254,百万元,财产保险业务（人保财险）,,中国人保_2025_Q4_A股_chunks.json,,,"2025年，人保财险实现保险服务收入5,115.94亿元...下表列明报告期内人保财险的承保利润情况：...减：保险服务费用 486,254（单位：百万元）",2026-08-11,95,待审核
,人保,2025,2025Q4,F005,投资收益,投资收益,92323,百万元,集团,,中国人保_2025_Q4_A股_chunks.json,,,"2025年，本集团总投资收益923.23亿元，同比增长12.4%（候选2）；实现总投资收益923.23亿元，同比增长12.4%（候选5）。923.23亿元×100=92,323百万元。",2026-08-11,95,待审核
,人保,2025,2025Q4,F006,综合成本率,综合成本率,97.6,%,人保财险（财产保险业务）,,中国人保_2025_Q4_A股_chunks.json,,,"2025年，人保财险实现保险服务收入5,115.94亿元，同比增长5.4%；实现承保利润124.43亿元，同比增长75.6%；综合成本率97.6%，同比下降0.9个百分点；综合赔付率74.0%，同比上升1.3个百分点；综合费用率23.6%，同比下降2.2个百分点。",2026-08-11,0.98,待审核
,人保,2025,2025Q4,F007,综合赔付率,综合赔付率,74.0,%,人保财险（财产保险业务）,,中国人保_2025_Q4_A股_chunks.json,,,"2025年，人保财险实现保险服务收入5,115.94亿元，同比增长5.4%；实现承保利润124.43亿元，同比增长75.6%；综合成本率97.6%，同比下降0.9个百分点；综合赔付率74.0%，同比上升1.3个百分点；综合费用率23.6%，同比下降2.2个百分点。",2026-08-11,0.95,待审核
,人保,2025,2025Q4,F008,综合费用率,综合费用率,23.6,%,人保财险（财产保险业务）,,中国人保_2025_Q4_A股_chunks.json,,,"2025年，人保财险实现保险服务收入5,115.94亿元，同比增长5.4%；实现承保利润124.43亿元，同比增长75.6%；综合成本率97.6%，同比下降0.9个百分点；综合赔付率74.0%，同比上升1.3个百分点；综合费用率23.6%，同比下降2.2个百分点。",2026-08-11,0.95,待审核
,人保,2025,2025Q4,F009,车险综合成本率,车险综合成本率,95.3,%,机动车辆险,车险,中国人保_2025_Q4_A股_chunks.json,,人保_2025_q4_a_006,机动车辆险业务综合成本率95.3%，同比下降1.5个百分点,2026-08-11,0.95,待审核
,人保,2025,2025Q4,B001,原保险保费收入,原保险保费收入,555777,百万元,财产保险业务（人保财险）,,中国人保_2025_Q4_A股_chunks.json,,,"下表列明报告期内人保财险按险种列示的原保险保费收入：单位：百万元。表格中合计为555,777百万元。",2026-08-11,95,待审核
